name,x,y
K1,267.0,332.5
L1,218.4,329.2
M1,218.9,315.4
N1,242.4,312.1
ND2,209.1,328.9
O1,229.7,298.8
P1,169.6,300.8
Q1,167.7,332.2
R1,166.0,338.5
S1,180.6,338.7
T1,180.6,348.8
U1,143.9,348.6
AlavancaR1,162.8,338.6
V1,141.9,339.2
Dash,126.3,337.6
W1,148.0,331.6
Estacao1,138.8,331.6
AlavancaP1_NCC1,153.3,304.9
NCC1,145.5,301.0
Z1,225.4,290.4
NL11,259.8,290.3
ND3,217.3,287.9
NEP,171.7,281.2
I,226.1,275.2
NSD1,244.1,273.5
N6,220.1,266.5
ND4,210.2,268.8
NSD,179.5,257.7
C2,180.2,265.9
NEP1,169.6,265.9
A2,229.4,259.7
B2,239.5,234.1
Estacao3,228.1,224.1
NLI1,222.5,249.9
ND5,252.7,234.2
D2,266.5,232.9
E2,283.4,234.7
