name,start,end,length
p2,NVR,K1,23.6
q2,K1,L1,48.7
r2,L1,M1,13.8
s2,M1,N1,23.7
t2,ND2,L1,9.4
a2,N1,O1,18.3
b2,O1,P1,60.1
c2,P1,Q1,31.5
d2,Q1,R1,6.5
e2,R1,S1,14.6
f3,S1,T1,10.1
g3,T1,U1,36.7
h3,U1,AlavancaR1,21.4
i3,AlavancaR1,R1,3.2
j3,AlavancaR1,R1,3.2
k3,AlavancaR1,V1,20.9
l3,V1,Dash,15.6
m3,V1,W1,9.7
n3,W1,Estacao1,9.3
p3,Estacao1,Estacao2,0.1
q3,W1,AlavancaP1_NCC1,27.3
r3,AlavancaP1_NCC1,NCC1,8.7
s3,NCC1,P1,24.1
t3,P1,AlavancaP1_NCC1,16.9
a3,Q1,ND2,41.5
b3,O1,Z1,9.5
c3,Z1,NL11,34.4
d3,Z1,ND3,8.5
e3,ND3,NEP,46.1
f4,Z1,I,15.2
g4,I,NSD1,18.1
h4,I,N6,10.5
i4,N6,ND4,10.2
l4,ND4,C2,30.1
m4,C2,NEP1,10.6
n4,NSD,C2,8.3
j4,N6,A2,11.5
k4,A2,B2,27.6
p4,B2,Estacao3,15.1
q4,Estacao1,Estacao3,0.1
r4,Estacao3,Estacao2,0.1
s4,A2,NLI1,12.0
t4,B2,ND5,13.3
a4,ND5,D2,13.8
b4,D2,E2,16.9
